                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.24373,                0.29626,                0.23074,                0.84456,                0.99844,                      1,                  0.995,                0.98767,                0.99844,                      1,                  0.995,                0.97611,                0.21925,                 0.2667,                0.25036,                0.83013,              0.0002378,              0.0002378,              0.0002378
                     92,                0.25014,                0.29927,                0.23102,                 0.8506,                0.99839,                      1,                  0.995,                0.99007,                0.99839,                      1,                  0.995,                 0.9797,                0.22016,                0.26262,                 0.2157,                0.82293,               0.000218,               0.000218,               0.000218
                     93,                0.24588,                0.28998,                0.21859,                0.84547,                0.99844,                      1,                  0.995,                0.99063,                0.99844,                      1,                  0.995,                0.99022,                0.22482,                0.25672,                0.22615,                0.82586,              0.0001982,              0.0001982,              0.0001982
                     94,                0.23461,                0.28896,                0.21955,                0.86032,                0.99839,                      1,                  0.995,                0.99023,                0.99839,                      1,                  0.995,                0.98188,                0.23039,                 0.2712,                0.21159,                0.82543,              0.0001784,              0.0001784,              0.0001784
                     95,                0.22356,                0.28999,                0.21106,                 0.8446,                0.99848,                      1,                  0.995,                0.99376,                0.99848,                      1,                  0.995,                0.98572,                0.20698,                0.26685,                0.21687,                0.81502,              0.0001586,              0.0001586,              0.0001586
                     96,                0.22608,                0.29542,                 0.2118,                0.83462,                0.99847,                      1,                  0.995,                0.99155,                0.99847,                      1,                  0.995,                0.98632,                0.20897,                  0.266,                0.20447,                0.81404,              0.0001388,              0.0001388,              0.0001388
                     97,                0.22086,                0.28932,                0.20886,                0.83374,                0.99843,                      1,                  0.995,                0.99081,                0.99843,                      1,                  0.995,                0.98645,                0.19997,                 0.2679,                0.20697,                 0.8162,               0.000119,               0.000119,               0.000119
                     98,                0.21628,                0.29347,                0.20705,                0.84898,                0.99842,                      1,                  0.995,                  0.995,                0.99842,                      1,                  0.995,                0.98597,                0.19186,                 0.2596,                0.19266,                0.80964,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.21026,                0.29393,                0.20183,                0.82692,                0.99844,                      1,                  0.995,                0.99335,                0.99844,                      1,                  0.995,                0.98292,                0.20409,                0.26416,                0.18302,                0.81101,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.21492,                0.28579,                 0.2089,                0.84633,                0.99844,                      1,                  0.995,                  0.995,                0.99844,                      1,                  0.995,                0.98864,                0.19224,                0.25911,                0.17486,                0.80813,               5.96e-05,               5.96e-05,               5.96e-05
