                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.34878,                0.28173,                0.83886,                0.97977,                      1,                  0.995,                0.92844,                 0.4244,                0.23791,                0.84227,               0.000614,               0.000614,               0.000614
                     73,                0.34491,                0.27302,                0.84908,                0.98503,                      1,                  0.995,                0.94318,                0.40476,                0.23781,                0.84216,              0.0005942,              0.0005942,              0.0005942
                     74,                0.31725,                  0.262,                  0.837,                0.98574,                      1,                  0.995,                0.93782,                0.39216,                0.23757,                0.83761,              0.0005744,              0.0005744,              0.0005744
                     75,                0.34584,                0.26947,                0.86305,                 0.9855,                      1,                  0.995,                  0.929,                0.38962,                0.24659,                0.83966,              0.0005546,              0.0005546,              0.0005546
                     76,                0.34552,                0.28051,                0.85609,                0.98861,                      1,                  0.995,                0.92431,                0.38209,                0.24389,                 0.8322,              0.0005348,              0.0005348,              0.0005348
                     77,                0.33487,                0.26228,                0.84262,                0.99079,                      1,                  0.995,                0.92806,                0.38362,                0.23581,                0.84495,               0.000515,               0.000515,               0.000515
                     78,                0.33126,                0.26396,                0.85021,                0.98907,                      1,                  0.995,                0.93248,                0.38079,                 0.2391,                0.84056,              0.0004952,              0.0004952,              0.0004952
                     79,                0.33161,                0.26644,                0.84078,                0.98059,                      1,                  0.995,                0.93239,                0.40285,                0.24917,                0.84225,              0.0004754,              0.0004754,              0.0004754
                     80,                0.32834,                0.25379,                0.83982,                 0.9696,                      1,                  0.995,                0.94195,                0.39422,                0.25995,                0.84194,              0.0004556,              0.0004556,              0.0004556
                     81,                0.33706,                0.25779,                0.86628,                0.97478,                      1,                  0.995,                0.93546,                0.37474,                0.24597,                0.84431,              0.0004358,              0.0004358,              0.0004358
                     82,                0.30376,                0.23971,                0.84207,                0.98396,                      1,                  0.995,                0.92665,                0.40392,                0.24464,                0.84657,               0.000416,               0.000416,               0.000416
                     83,                0.31133,                0.25595,                0.84363,                0.98586,                      1,                  0.995,                0.92225,                0.39773,                0.23236,                0.85042,              0.0003962,              0.0003962,              0.0003962
                     84,                0.33614,                0.26186,                0.84945,                0.98416,                      1,                  0.995,                0.93559,                0.40769,                 0.2417,                 0.8534,              0.0003764,              0.0003764,              0.0003764
                     85,                0.29666,                0.23418,                0.83107,                0.97625,                      1,                  0.995,                0.93944,                0.41023,                0.23413,                0.85511,              0.0003566,              0.0003566,              0.0003566
                     86,                0.31227,                0.25476,                 0.8436,                0.97045,                      1,                  0.995,                0.95532,                0.40567,                 0.2403,                0.85475,              0.0003368,              0.0003368,              0.0003368
                     87,                0.33448,                0.25382,                0.89452,                0.96508,                      1,                  0.995,                0.95614,                0.40047,                0.24142,                0.85529,               0.000317,               0.000317,               0.000317
                     88,                0.31907,                0.25074,                0.83841,                0.97068,                      1,                  0.995,                 0.9511,                0.40425,                0.24765,                0.86003,              0.0002972,              0.0002972,              0.0002972
                     89,                0.32597,                0.24955,                0.83424,                0.97421,                      1,                  0.995,                0.94651,                0.38374,                0.24828,                0.84442,              0.0002774,              0.0002774,              0.0002774
                     90,                0.31277,                 0.2427,                0.86835,                0.97275,                      1,                  0.995,                0.94561,                0.39525,                0.24996,                0.84996,              0.0002576,              0.0002576,              0.0002576
                     91,                0.26038,                0.20475,                0.79552,                0.96634,                      1,                  0.995,                0.93899,                0.41352,                0.24388,                 0.8576,              0.0002378,              0.0002378,              0.0002378
                     92,                0.26156,                0.20361,                0.79962,                0.96734,                      1,                  0.995,                0.93978,                 0.4095,                0.25295,                0.85299,               0.000218,               0.000218,               0.000218
                     93,                0.25169,                 0.1976,                0.79025,                0.97745,                      1,                  0.995,                0.94391,                0.40287,                0.23965,                0.85274,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.2599,                0.19978,                0.79016,                0.98219,                      1,                  0.995,                0.94573,                0.40371,                0.23454,                0.85093,              0.0001784,              0.0001784,              0.0001784
                     95,                0.25749,                0.20208,                0.78394,                 0.9873,                      1,                  0.995,                0.93047,                0.41713,                 0.2309,                0.85191,              0.0001586,              0.0001586,              0.0001586
                     96,                0.24594,                0.19077,                0.77587,                0.98847,                      1,                  0.995,                0.93816,                0.40619,                0.21045,                0.84833,              0.0001388,              0.0001388,              0.0001388
                     97,                0.24616,                 0.1995,                 0.7963,                0.98739,                      1,                  0.995,                0.94194,                0.40554,                0.21985,                0.85351,               0.000119,               0.000119,               0.000119
                     98,                0.24321,                0.19007,                 0.7927,                0.98822,                      1,                  0.995,                0.94046,                0.39901,                0.21033,                0.85364,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.24833,                0.19159,                0.81066,                0.98646,                      1,                  0.995,                0.95052,                0.39499,                0.20997,                0.85121,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.24292,                 0.1874,                0.79085,                0.98453,                      1,                  0.995,                0.94023,                0.39938,                0.20379,                0.85119,               5.96e-05,               5.96e-05,               5.96e-05
